# 12 month-opener 節氣 instants, JPL DE440s via Skyfield (tools/generate_solar_terms.py). year = KST calendar year.
year,term,utc
1942,立春,1942-02-04T10:48:16Z
1942,驚蟄,1942-03-06T05:09:02Z
1942,淸明,1942-04-05T10:23:32Z
1942,立夏,1942-05-06T04:06:33Z
1942,芒種,1942-06-06T08:32:15Z
1942,小暑,1942-07-07T18:51:30Z
1942,立秋,1942-08-08T04:30:01Z
1942,白露,1942-09-08T07:05:50Z
1942,寒露,1942-10-08T22:21:25Z
1942,立冬,1942-11-08T01:10:50Z
1942,大雪,1942-12-07T17:46:30Z
1943,小寒,1943-01-06T04:54:33Z
1943,立春,1943-02-04T16:39:48Z
1943,驚蟄,1943-03-06T10:58:15Z
1943,淸明,1943-04-05T16:10:55Z
1943,立夏,1943-05-06T09:53:05Z
1943,芒種,1943-06-06T14:18:41Z
1943,小暑,1943-07-08T00:38:33Z
1943,立秋,1943-08-08T10:18:13Z
1943,白露,1943-09-08T12:54:52Z
1943,寒露,1943-10-09T04:10:13Z
1943,立冬,1943-11-08T06:58:28Z
1943,大雪,1943-12-07T23:32:35Z
1944,小寒,1944-01-06T10:38:59Z
1944,立春,1944-02-04T22:22:39Z
1944,驚蟄,1944-03-05T16:40:10Z
1944,淸明,1944-04-04T21:53:41Z
1944,立夏,1944-05-05T15:39:27Z
1944,芒種,1944-06-05T20:10:36Z
1944,小暑,1944-07-07T06:35:46Z
1944,立秋,1944-08-07T16:18:34Z
1944,白露,1944-09-07T18:55:16Z
1944,寒露,1944-10-08T10:08:26Z
1944,立冬,1944-11-07T12:54:23Z
1944,大雪,1944-12-07T05:27:23Z
1945,小寒,1945-01-05T16:34:11Z
1945,立春,1945-02-04T04:19:07Z
1945,驚蟄,1945-03-05T22:37:45Z
1945,淸明,1945-04-05T03:51:31Z
1945,立夏,1945-05-05T21:36:21Z
1945,芒種,1945-06-06T02:05:09Z
1945,小暑,1945-07-07T12:26:31Z
1945,立秋,1945-08-07T22:04:49Z
1945,白露,1945-09-08T00:37:53Z
1945,寒露,1945-10-08T15:48:53Z
1945,立冬,1945-11-07T18:33:56Z
1945,大雪,1945-12-07T11:07:24Z
1946,小寒,1946-01-05T22:16:04Z
1946,立春,1946-02-04T10:03:38Z
1946,驚蟄,1946-03-06T04:24:23Z
1946,淸明,1946-04-05T09:38:16Z
1946,立夏,1946-05-06T03:21:12Z
1946,芒種,1946-06-06T07:48:27Z
1946,小暑,1946-07-07T18:10:33Z
1946,立秋,1946-08-08T03:51:20Z
1946,白露,1946-09-08T06:27:10Z
1946,寒露,1946-10-08T21:40:32Z
1946,立冬,1946-11-08T00:26:54Z
1946,大雪,1946-12-07T16:59:57Z
1947,小寒,1947-01-06T04:06:05Z
1947,立春,1947-02-04T15:50:06Z
1947,驚蟄,1947-03-06T10:07:41Z
1947,淸明,1947-04-05T15:19:53Z
1947,立夏,1947-05-06T09:02:43Z
1947,芒種,1947-06-06T13:30:57Z
1947,小暑,1947-07-07T23:55:34Z
1947,立秋,1947-08-08T09:40:37Z
1947,白露,1947-09-08T12:20:50Z
1947,寒露,1947-10-09T03:37:03Z
1947,立冬,1947-11-08T06:24:08Z
1947,大雪,1947-12-07T22:55:57Z
1948,小寒,1948-01-06T09:59:59Z
1948,立春,1948-02-04T21:41:46Z
1948,驚蟄,1948-03-05T15:57:39Z
1948,淸明,1948-04-04T21:09:05Z
1948,立夏,1948-05-05T14:51:59Z
1948,芒種,1948-06-05T19:20:06Z
